Nov 16,Generally Available: Red Hat Enterprise Linux 9.3 now supported on Azure Virtual Machines,NOW AVAILABLE,"Red Hat Enterprise Linux (RHEL) 9.3, the latest version of RHEL 9 from Red Hat is now generally available on Azure Virtual Machines (VMs). Availability of RHEL 9.3 for VMs on Azure is a step forward towards offering a more scalable, flexible Linux platform that pairs container innovation with a strong security posture.",`GA` (Generally Available),Azure Virtual Machines
Nov 16,General availability: Integration of Azure Monitor Agent support with Connection Monitor,NOW AVAILABLE,Integration of Azure Monitor Agent support in Connection Monitor for monitoring connectivity across ARC enabled endpoints as sources and destinations,Preview,Azure Monitor
Nov 16,Public preview: Private subnet,IN PREVIEW,Private subnet is a new feature that allows you to create subnets that prevent the creation of insecure default outbound public IP address creation,Preview,Azure Virtual Network (VNet)
Nov 15,Public Preview: Attach and VMs to and from Existing Virtual Machine Scale Sets,IN PREVIEW,You can now easily bring existing VMs to an existing Virtual Machine Scale Set with Flexible Orchestration Mode to take advantage of the scaling orchestrations offered by scale sets. You can now detach a VM from the scale set for isolation and troubleshooting.,GA,Virtual Machine Scale Set
Nov 15,General Availability of Azure Logic Apps' New Data Mapper for Visual Studio Code,NOW AVAILABLE,"Data Mapper is Azure Logic Apps' new visual data transformation tool. Now, in general availability, as a Visual Studio Code extension, it can create and edit maps between source and target schemas.",GA,Azure Logic Apps
Nov 15,Generally Available: Azure Mv3 Medium Memory (MM) Virtual Machines,NOW AVAILABLE,Get improved performance and higher reliability for your memory-optimized workloads with the public preview of the new generation Mv3 Medium Memory (MM) Virtual Machines.,Preview,Azure Virtual Machines
Nov 15,Azure Logic Apps Standard VS Code Extension Installation Enhancements in public preview,IN PREVIEW,"Currently, in public preview starting from version 2.80.0, the installation process of the VS Code Extension for Azure Logic Apps Standard will be significantly simplified. The extension will automatically identify and install any required dependencies, such as other extensions or frameworks. This will also encompass all the necessary extensions, including the C# extension essential for debugging.",Preview,Azure Logic Apps Standard
Nov 15,General Availability of Application Insights Enhancements for Azure Logic Apps (standard),NOW AVAILABLE,We are also excited to announce the general availability of Application Insights Enhancements for Azure Logic Apps (standard). This new capability gives you a simplified experience for discovering insights about your Logic App workflows and more control over filtering events at the source and reducing your storage costs.,GA,Application Insights
Nov 15,Announcing general availability of .NET Framework Custom Code for Azure Logic Apps (standard),NOW AVAILABLE,We are pleased to announce the general availability of .NET Framework Custom Code for Azure Logic Apps (standard). This capability allows customers to extend their low-code solutions with the power of custom code.,GA (General Availability),Azure Logic Apps
Nov 15,Announcing Azure Integration Environment in public preview,IN PREVIEW,"We are excited to introduce a new Azure service that provides unified experience to help customers effectively manage and monitor their integration resources. This service comprises two core components: the Azure Integration Environment and Business Process Tracking, both currently in public preview.",Preview,Azure Integration Services
Nov 15,Azure Logic Apps workflow assistant in public preview,No Status,"Bringing the power of AI to Azure Logic Apps for the first time, this workflow assistant answers any questions you have about Azure Logic Apps from directly within the designer. Currently in public preview, this chat interface provides access to Azure Logic Apps documentation and best practices without requiring you to navigate documentation or search online forums.",Preview,Azure Logic Apps
Nov 15,Public preview: Azure Backup supports long term retention for backup of Azure Database for PostgreSQL– Flexible Server,IN PREVIEW,Now you can retain backups for up to 10 years by defining your own backup and retention policy for PostgreSQL- Flexible server.,Preview,Azure Backup
Nov 15,GA: Ultra Disk performance updates,NOW AVAILABLE,Azure Ultra Disk Storage now provides maximum throughput of up to 10 GBps and IOPS of up to 400K IOPS per disk.,GA (Generally Available),Azure Ultra Disk Storage
Nov 15,GA: Stateful entities in Durable Functions on the isolated worker model for .NET,NOW AVAILABLE,The stateful entities feature for Durable Functions is now available for .NET apps on the isolated worker model.,GA,Durable Functions
Nov 15,Azure Container Storage is now available with Azure Linux container host,IN PREVIEW,"Azure Container Storage (in preview) offers volume management built natively for containers. With the latest update, you can deploy Azure Container Storage on Azure Linux container host.",`Preview`,Azure Container Storage
Nov 15,Azure Functions brings new flexibility with unlimited execution time,IN DEVELOPMENT,"You can now request for access to try out Flex Consumption, a new Azure Functions hosting plan that provides fast scaling and networking features with a serverless billing model.",Preview,Azure Functions
Nov 15,Public Preview: Azure IoT Operations,IN PREVIEW,"Azure IoT Operations is now in Public Preview.  Azure IoT Operations addresses an enterprise’s fundamental needs, but also wrangles edge data to generate local insights and brings interoperability and scalability to IoT solutions.",GA (General Availability),Azure IoT Operations
Nov 15,Generally available: Partitioned namespaces for Azure Service Bus Premium,NOW AVAILABLE,"Partitoned namespaces for Azure Service Bus, allowing the use of partitioning for the premium messaging tier, is now generally available.",GA (Generally Available),Azure Service Bus
Nov 15,Public preview: Cost analysis add-on for AKS,IN PREVIEW,You now have increased visibility and transparency into cluster costs.,Preview,Azure Kubernetes Service
Nov 15,Public preview: Azure Container Apps adds native support for CNCF Buildpacks to automatically containerize your code,IN PREVIEW,You can now focus on your code and quickly take your application from source to cloud. There’s no need to understand containers or how to package application code for deployment.,GA.,Azure Web App Service
Nov 15,Generally available: Azure Container Apps Landing Zone Accelerator,NOW AVAILABLE,You can now provision Container Apps with workload profiles securely at an enterprise scale with a landing zone.,GA,Azure Kubernetes Service
Nov 15,Public preview: Policy-driven resiliency in Azure Container Apps,IN PREVIEW,You can now use and customize policies that provide high value resiliency capabilities and apply them to your Container Apps.,GA (Generally Available),Azure Container Instances
Nov 15,Public preview: Dedicated GPU workload profiles,IN PREVIEW,You can now run GPU-enabled workloads in Azure Container Apps.,GA.,Azure Container Apps
Nov 15,Kubernetes AI toolchain operator,NOW AVAILABLE,You can now more easily deploy machine learning (ML) models on AKS using the Kubernetes AI toolchain operator.,GA (Generally Available),AKS (Azure Kubernetes Service)
Nov 15,GA: Azure Kubernetes Fleet Manager,NOW AVAILABLE,Azure Kubernetes Fleet Manager is now generally available and offers an update orchestration feature so you can create an update strategy once and reference it in multiple update runs.,GA (generally available),Azure Kubernetes Service
Nov 15,Preview: New Basic SKU functionality for Azure confidential ledger,IN PREVIEW,"The Azure confidential ledger Basic SKU gated preview will allow select customers using other Azure products to uplevel integrity protection by storing periodic data, blobs, and application signatures in Azure confidential ledger.",`Preview`,Azure Confidential Ledger
Nov 15,Azure Chaos Studio is now generally available,NOW AVAILABLE,"The general availability of Azure Chaos Studios provides a fully managed experimentation platform for discovering challenging issues through experiment templates, dynamic targets and a more guided user interface.",`GA` (General Availability),Azure Chaos Studios
Nov 15,Announcing Azure API Management Credential Manager: Azure API Management Authorizations Renamed,NOW AVAILABLE,"We're thrilled to introduce the rebranding and feature enhancements of Azure API Management's Credential Manager, formerly known as Authorizations. The updated Credential Manager now boasts additional capabilities for user-delegated permissions.",GA (General Availability),Azure API Management.
Nov 15,Generally available: AMD confidential VM option for Azure Databricks,NOW AVAILABLE,Users can now select AMD-based confidential VMs for their Azure Databricks cluster driver node and cluster worker nodes.,`Preview`,Azure Databricks
Nov 15,Public Preview: Announcing the preview of Azure Managed Confidential Consortium Framework,IN PREVIEW,Deploy and build decentralized governance applications with granular confidentiality amongst members.,Preview.,Azure Confidential Consortium Blockchain Service
Nov 15,Preview: Azure confidential VMs with NVIDIA H100 Tensor Core GPUs,IN PREVIEW,Azure confidential VMs with NVIDIA H100 Tensor Core GPUs is open for preview. Please use the sign-up at aka.ms/accgpusignup for your onboarding request.,Preview,Azure Confidential Computing with GPUs
Nov 15,Public preview: Confidential containers on Azure Kubernetes Service (AKS),No Status,AKS now lets you run individual pods in their own trusted execution environment (TEE),Preview.,Azure Kubernetes Service
Nov 15,Public preview: Confidential temp disk encryption for confidential VMs,IN PREVIEW,Confidential temp disk encryption is now available for all confidential VMs.,GA,Azure Confidential Computing
Nov 15,Public Preview: New Marketplace app for Storage customers and feature enhancements to portal for Azure confidential ledger,IN PREVIEW,"Storage customers will now be able to use a marketplace application to connect their immutable blobs with enhanced integrity protection from Azure confidential ledger. Signatures from blobs will be stored and validated, as needed. In addition, the Azure confidential ledger portal experience has been enhanced to allow exploring transactions and retrieving cryptographic proof.",Preview,Azure Confidential Ledger
Nov 15,Preview: Disk Integrity Tool for confidential VMs in Azure,IN PREVIEW,The disk integrity tool for confidential VMs is now in preview. This enables you to measure and attest that your OS disk is launched as expected.,Preview.,Confidential VMs
Nov 15,Generally Available: Trusted launch as default for VMs deployed through PowerShell and CLI,NOW AVAILABLE,"Trusted launch is now enabled by default for VMs deployed through PowerShell and CLI, enhancing the foundational security of these VMs.",GA (Generally Available),Azure Virtual Machines
Nov 15,Public Preview: Red Hat Enterprise Linux (RHEL) 9.3 support for AMD-based confidential VMs,IN PREVIEW,RHEL 9.3 is now available in public preview as the guest OS for all AMD-based confidential VMs.,`Preview`,Azure Confidential Computing
